"id","processed","name_wd","name_rdl","name_pae","units_wd_id","units_rdl_id","value_min_PAE","value_max_PAE","value_min_RDL","value_max_RDL","value_null","asociado_id","group_id","group_sensor_id","import","required_rdl","required_pae","create_date"
"1862","PROCESSED","DIR-DLS_Contin_Calc"," ","","70","70","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1863","PROCESSED","DIR-Dogleg_Sev"," ","","70","70","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1864","PROCESSED","DIR-ECD_en_Trepano"," ","","15","15","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1865","PROCESSED","DIR-ECD_Prof_Total"," ","","15","15","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1866","PROCESSED","DIR-ESD_mat"," ","","15","15","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1867","PROCESSED","DIR-ESD_max"," ","","15","15","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1868","PROCESSED","DIR-ESD_min"," ","","15","15","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1869","PROCESSED","DIR-Fabricante_Trepano"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1870","PROCESSED","DIR-Fecha"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1871","PROCESSED","DIR-G_Ray_Azim_(Correg)"," ","","34","34","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1872","PROCESSED","DIR-Gamma_Ray_(Correg)"," ","","34","34","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1873","PROCESSED","DIR-Gravity_Total_[Gauss]"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1874","PROCESSED","DIR-GTF_Contin"," ","","30","30","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1875","PROCESSED","DIR-Hora_"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1876","PROCESSED","DIR-Horas_Circulacion"," ","","31","31","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
"1877","PROCESSED","DIR-Ident_pozo"," ","","19","19","0","0","0","0","-999.25","0","1","14","NO","NO","NO","29/11/2021 10:28:58"
